name,website,elevator_pitch,description,technology_description,mit_connection,contact,founded,employees,technology,industry,capital_raised,keywords,profile_url,scraped_at
"GPR, INC. (FORMERLY WAVESENSE) Edit",http://gpr.com,"Self-driving vehicles will save millions of lives and transform the economy. Before they become mainstream, they need to be able to navigate safely and reliably in all types of road and weather conditions. GPR's map enables just that by radically reducing navigation failure rates. Every road in the world has a unique subsurface signature. GPR uses ground penetrating radar to create a map of those subsurface signatures from which self-driving cars can navigate.","Self-driving vehicles will save millions of lives and transform the economy. Before they become mainstream, they need to be able to navigate safely and reliably in all types of road and weather conditions. GPR's map enables just that by radically reducing navigation failure rates. Every road in the world has a unique subsurface signature. GPR uses ground penetrating radar to create a map of those subsurface signatures from which self-driving cars can navigate. Vehicles using the GPR map are unaffected by common but challenging road conditions like snow, heavy rain, fog, or poor lane markings. Because GPR's solution is independent of dynamic environments above the road, it can improve overall navigation by orders of magnitude when combined with existing sensor suites, even in clear conditions. GPR will accelerate the arrival of self-driving vehicles, help save millions of lives, and transform the future of transport.","GPR, Inc. (formerly WaveSense) is pioneering the safest and highest performing assisted driving and autonomous capabilities with Ground Positioning Radar™ (GPR). As the world’s most precise and reliable vehicle positioning system, Ground Positioning Radar™ allows vehicles to determine their precise location with centimeter-level accuracy, no matter how challenging road conditions become. GPR is working closely with automakers and Tier 1 partners to help vehicles safely navigate where current ADAS technologies fall short and to realize a vision of the future where AVs are the standard.","MIT-licensed technology | MIT alumni as founder | GPR is the exclusive worldwide licensee of autonomous vehicle technology developed at Lincoln Laboratory. Byron Stanley (MIT undergraduate and graduate alumnus, Former MIT Lincoln Laboratory) is a co-founder and CTO.","444 Somerville Ave, Somerville, MA, 02143 • byron@gpr.com, info@gpr.com, startupexchange-admin@mit.edu, startupexchange@mit.edu","Nov 13, 2017",25-49,Intelligent Mobility,Transportation,$20-100M,,https://startupexchange.mit.edu/node/3345,2025-08-22T14:57:11
GRADIENT TECHNOLOGIES Edit,http://www.gradient.tech/,Gradient solves digital identity security by eliminating the ability for attackers to steal digital credentials.,"Gradient is a Cambridge, MA based venture backed startup developing a secure and privacy-preserving distributed system based on silicon root of trust and anonymous attestation. Our target platforms span from cloud-scale computing and storage, to the simplest of connected devices. Gradient is truly full stack: we’ve built our own secure processor architecture based upon over a decade of work at MIT and elsewhere. Combined with low level software security measures that enforce authenticity and integrity of information continuously, and a novel key management architecture - we achieve strong security and privacy guarantees with minimal overhead; it’s no longer a choice between security and collaboration - Gradient technologies provide for both. At Gradient we see a world in which the authenticity and integrity of every electronic device, the software it operates, data it stores and computes, and information itself, are provable qualities by construction, not by trust in a third party.",,"MIT alumni as founder | Founder - Christian Wentz, S.B. 2008, M.Eng 2010 - SB 2009 Major: Electrical Engrg), MNG 2010 EECS) - cwentz@alum.mit.edu; Co-Founder - Tom Hennessey, S.B. 2005 - SB 2005 School of Engineering (Major: Mech Eng - Coop) - tvh83@alum.mit.edu and Cell Phone: 339-206-1985","No Street Listed, San Francisco, CA, 94108 • christian@gradient.tech, george@gradient.tech, startupexchange-admin@mit.edu, startupexchange@mit.edu","Jul 1, 2018",1-9,Cybersecurity,Software,,,https://startupexchange.mit.edu/node/3934,2025-08-22T14:57:48
GROWATER INC. Edit,http://www.growater.co/,GRoWater Inc. has been established to develop and commercialized single-layer controlled nanoporous graphene membranes for water purification and desalination.,"GroWater has years of working experience and knowledge stemming from Production Management and Head Grower capacities for Controlled Environment Agriculture (CEA) commercial grow operations. Backgrounds are in Business Management, Industrial Engineering, Facility Design and Time/Work Measurement will also add perspectives to growing operations. Since 2011, GroWater has dedicated time searching for solutions on issues that continue to hinder commercial and urban grows. GroWater inc. blends traditional agriculture with the latest horticulture technologies to create an easy ‘plug n play’ growing experience for the urban gardener. Years of growing experience enables groWater to match each growing system it sells with the proper plant foods to ensure consistent harvests and maintain strict harvest scheduling.",Please add,"MIT-licensed technology | MIT faculty as founder | MIT alumni as founder | GRoWater Inc. has been established to develop and commercialized single-layer controlled nanoporous graphene membranes for water purification and desalination. Dr. Rohit Karnik – Co-Founder, Chief Technical Advisor is Associate Professor ; Sean O'Hern -PH.D Research Scientist","199 Dexter Ave, Watertown, MA, 02472 • startupexchange-admin@mit.edu, startupexchange@mit.edu, tozfec@optonline.net","Feb 1, 2011",1-9,Nanotech,Agriculture,,,https://startupexchange.mit.edu/node/3906,2025-08-22T14:58:23
GUIDING PHARMACEUTICALS Edit,,"Multiple Myeloma is a deadly blood cancer with an under 50% 5 year survival rate. The market for treatment of Multiple Myeloma was $7.5 bln in 2015 and is expected to grow to $37.5 bln by 2024. Velcade is the primary treatment for this disease, making up 33% of the market share. We have made a novel, deliverable chemical that acts through the same mechanistic pathways as Velcade tripling mouse life expectancy when compared to Velcade.","Guiding Pharmaceuticals is focused on the development of drug delivery vehicles through the invention of novel chemical formulations. These vehicles drastically reduce the toxicity and side effects of normally dangerous chemotherapies by both controlling the release of the active pharmaceutical ingredients and targeting only diseased cancer cells. We are also able to intelligently combine our drug formulations to customize our therapies to the genetics of the specific cancer disease, thus potentially reducing cancer drug resistance and increasing life expectancy.",,"MIT-licensed technology | MIT faculty as founder | MIT student as founder | Co-founders: Yivan Jiang, Hung Nguyen, and Jeremiah Johnson We are members of the Johnson lab in the Chemistry department in MIT and over the past few years, we have developed a novel technology for the treatment of the cancer Multiple Myeloma. We are establishing a company off this technology.","77 Massachusetts Ave, Room 18-067 Cambridge, MA 02139, Massachusetts • hvtn191@mit.edu, startupexchange-admin@mit.edu, startupexchange@mit.edu, yivan@mit.edu","Jan 1, 2019",1-9,Biotech,Biotechnology,,,https://startupexchange.mit.edu/node/2927,2025-08-22T14:59:30
HAKUNA Edit,http://www.hakunahealth.com,Hakuna's mobile technology connects families with top-notch caregivers,"Backed by a syndicate of successful serial entrepreneurs and professional investors, Hakuna is a NYC-based startup developing a technology-enhanced home care service. We send caregivers into the homes of seniors to help with everyday tasks a few hours a day, a few times a week. We provide an end-to-end solution for families looking for caregivers through a mobile platform that takes all of the worries out of the equation. We are not just another social web app: we are facilitating real services and changing how home care is delivered.",,"MIT alumni as founder | Kevin Liu, MIT Sloan 2013","79 Madison Ave, 2nd Fl, New York, NY, 10016 • kevin@hakuna.co, startupexchange-admin@mit.edu, startupexchange@mit.edu","Oct 22, 2013",25-49,Healthcare,Health Care,NULL,,https://startupexchange.mit.edu/node/3859,2025-08-22T15:00:06
HAMAMA Edit,https://www.hamama.cc/,HAMAMA’s product line makes growing food at home easier than making a cup of tea. The HAMAMA Grow Kit and Seed Quilts let you grow superfood microgreens every 7-10 days year-round. The subscription empowering anyone to grow healthy food at home.,"The subscription empowering anyone to grow healthy food at home. The HAMAMA Grow Kit and Seed Quilts let you grow superfood microgreens every 7-10 days year-round. New and existing gardeners, forgetful and mindful folks alike can grow food with HAMAMA thanks to the just-add-water-once system. HAMAMA’s patent pending Seed Quilt technology makes it all possible. Seed Quilts are a new kind of seed packaging that guarantees growing success by controlling watering, light, and humidity. Seed Quilts work with any seed type.",,"MIT alumni as founder | Daniel Goodman -- https://www.linkedin.com/in/goodmandaniel/ S.B. 2013 Mechanical Engineering, S.M. 2015 Media Arts & Science - dhgood@alum.mit.edu","San Francisco, CA 94108, California • dhgood@alum.mit.edu, startupexchange-admin@mit.edu, startupexchange@mit.edu","Jun 1, 2016",1-9,Foodtech,Food & Beverage,NULL,,https://startupexchange.mit.edu/node/3274,2025-08-22T15:01:12
HAPPILY.AI Edit,https://www.happily.ai/,"Happily.ai’s mission is to create happier, healthier workplaces. We integrate people analytics and behavioral science to provide real-time insights, personalized coaching, and actionable recommendations that empower leaders and engage employees. Our platform uses advanced AI algorithms to deliver daily pulse surveys, feedback mechanisms, and habit-forming exercises, ensuring continuous growth, stronger relationships, and a healthier work environment. Our product has achieved global and industr","Happily.ai addresses the widespread issue of low employee engagement, well-being, and productivity. Many organizations struggle with high turnover, disengaged employees, and a lack of real-time insights into team dynamics (self-inflicted by relying on annual engagement surveys riddled with bias). These challenges are pervasive across industry and company size, where leaders struggle to maintain a cohesive and motivated workforce operating on an aligned set of core values. Our platform provides leaders and HR professionals with tools to engage employees, build meaningful connections, and continuously measure and improve cultural health, ultimately driving better business outcomes.","Happily.ai combines cutting-edge AI, behavioral science, and a gamified product design to transform workplace engagement. Our platform focuses on strengthening workplace relationships by enabling a culture of continuous feedback and by providing actionable insights using daily pulse surveys. Happily.ai has a mobile app that employees use everyday, a web dashboard for advanced real-time analytics, and insights directly emailed to their inbox. We integrate third-party AI services like OpenAI and Claude, while also developing our own multilingual LLMs refined from seven years of contextualized data and insights. Our AI technology enhances the user experience by providing real-time, personalized coaching to develop EQ and other power skills, distilling prioritized insights for leaders based on team feedback, and offering contextual nudges that foster engagement and growth. We employ technologies such as sentiment analysis, predictive modeling, and advanced data visualization to empower leaders and engage employees at every level.","MIT alumni as founder | - The Founder & CEO, Tareef Jafferi, is an MIT Sloan MBA '16 Alumni, having founded Happily.ai in 2017, inspired by his People Analytics class at MIT - The CBO (Chief Business Officer) - Taarif Jafferi, is an MIT Sloan MBA '14, and joined Happily.ai in 2023","startupexchange-admin@mit.edu, startupexchange@mit.edu, tim@happily.ai","Jan 1, 2017",10-24,Software,Technology,$2-10M,"Tech-Enabled Culture, Workplace Culture & Well-Being, Employee Engagement, People Analytics, AI-Driven HR Tech, Changing Workplace Behaviors",https://startupexchange.mit.edu/node/39934,2025-08-22T15:01:18
HARVEST MOON AUTOMATION INC. Edit,http://www.harvestmoona.com,"Demand for high quality, low cost plant-based foods is rapidly increasing, but labor shortages, rising costs, and soil sustainability are thwarting growers’ ability to meet this demand. Harvest Moon Automation Inc. develops smart farming equipment to perform critical farming processes, including selective harvesting and weeding, without the use of chemicals. We are helping growers to improve yield, crop quality, food safety, and traceability while reducing cost – for enhanced profitability and soil sustainability.","Harvest Moon Automation Inc. develops innovative smart farming automation using robotics, machine vision, and proprietary algorithms coupled with novel mechanical design. In 2019 we introduced our first product, Inspect & Reject, which is the only system which can provide intelligent, real-time, inspection and rejection of leafy green crops during harvest. By using our patented system, our grower customers can detect and reject diseased or contaminated crop in real-time immediately before harvest. Out-of-spec fields can be brought into spec significantly boosting yield and profitability. Inspect & Reject also collects valuable time-of-harvest data for our customers' strategic and operational benefit. Our unique team combines technical expertise and agricultural experience with a strong focus on the customer. We are currently developing an intelligent weeding system based on our technology which will inspect crops and eliminate weeds without the use of chemicals. Our weeder is uniquely designed for both intra-row and inter-row usage with minimal soil disruption to support all farming practices – including organic, sustainable, and regenerative agriculture. We are seeking partners and investors to help fuel our future growth.",,MIT alumni as founder | The 2 co-founders are both MIT alumni. Stephen Jens earned his M.S. in Mechanical Engineering from MIT and Janice Huxley Jens earned her M.S. and Ph.D. in Electrical Engineering from MIT.,"19 Franklin Road, Winchester, MA, 01890 • janicehuxleyjens@harvestmoona.com, startupexchange-admin@mit.edu, startupexchange@mit.edu, stephenjens@harvestmoona.com","Mar 31, 2014",1-9,Hardware/Software Combos & Devices,Agriculture,Under $2M,"robotics, Automation, AgTech, Precision Agriculture, Smart Farming, Big Data",https://startupexchange.mit.edu/node/15727,2025-08-22T15:01:55
HARVESTAI Edit,https://harvest-ai.com/,"HarvestAi leverages AI-powered tools and machine learning to provide accurate crop growth and yield predictions as well as harvest manipulation, empowering growers to optimize harvest timing, reduce waste, and enhance resource efficiency. Our web-based SaaS platform integrates plant data, environmental conditions, and operational plans, enabling precise scenario planning and adaptive production strategies. With applications extending beyond greenhouses, we are advancing other solutions in various settings, developing tools like stage-of-ripeness detection and compatibility with technologies like harvest robotics. We help growers align production with market demands while maximizing profitability.","HarvestAi GmbH provides a SaaS-based AI solution that leverages computer vision and machine learning to optimize greenhouse operations. The platform offers automated crop registration, precise growth and yield predictions, and optimized harvest planning by integrating plant physiology, environmental conditions, and operational data. Customer Benefits: Improved Operational Efficiency – The AI-driven predictions eliminate manual estimations, reducing labor costs and resource wastage. Better Market Positioning – Accurate harvest forecasts allow growers to commit to buyers in advance, securing better sales deals. Reduced Food Waste & Costs – Synchronizing harvesting with market demand prevents overripe or wasted produce, maximizing profitability. Scalability & Flexibility – The crop-agnostic AI adapts to various greenhouse environments, ensuring high accuracy across different crops. Sustainability & Profitability – By minimizing greenhouse gas emissions and optimizing resources, the solution supports both economic and environmental sustainability.","HarvestAi’s AI-powered SaaS platform leverages machine learning and computer vision for precise crop growth, yield prediction, and scenario planning. Unlike traditional methods, our technology integrates plant physiology, environmental data, and operational factors to deliver highly accurate forecasts. By knowing harvest dates and yields in advance, greenhouse operators gain a stronger negotiating position, secure better sales deals, and optimize resource allocation—reducing costs and improving efficiency. Additionally, our platform enables growers to model environmental changes, such as adjusting artificial lighting, to align production with projected market demand. This predictive capability minimizes waste, enhances sustainability, and maximizes profitability.",MIT alumni as founder | Name - Georg Caspary Graduation year - 2017 Degree - Mechanical Engineering,"info@harvest-ai.com, startupexchange-admin@mit.edu, startupexchange@mit.edu","Aug 1, 2020",10-24,AI/ML,Agriculture,$2-10M,"Superior Prediction Accuracy – Achieves up to 96% accuracy for short-term yield forecasts by integrating real-time environmental factors, unlike competitors relying on historical data. Crop-Agnostic & Scalable AI – Works across multiple crops (tomatoes, cucumbers, peppers, eggplants) without retraining, making it flexible and cost-effective for various greenhouse setups. Smart Scenario Planning – Allows growers to simulate environmental adjustments (e.g., artificial lighting) to optimize yields based on market demand, maximizing profitability.",https://startupexchange.mit.edu/node/40389,2025-08-22T15:02:02
"HAYSTACK AG, INC. Edit",https://www.haystackag.com/,Haystack Ag is focused on improving crop outcomes and farm profitability using innovative sensing technology.,"Accion is developing advanced technologies for the new space industry. We are striving to become a leader in high-quality, affordable propulsion technologies that enable increased access to space. The propulsion systems are some of the first that can turn affordable satellites into capable ones. Accion will reinvest their knowledge and resources into bringing the latest advances from other industries to aerospace, and will work to lower barriers to entry through decreased development cycles and costs for propulsion and other subsystems.","Regenerative farming practices hold huge potential to build soil health, sequester carbon, and reward growers for ecosystem services. But because sequestration rates vary based on geography, soil type, and farming practices, accurate and cost-effective soil measurement is needed to better understand what practices are most effective in local contexts. To date, accurate testing has remained expensive, limiting its use. Haystack is solving this problem.",MIT student as founder | MIT alumni as founder | MIT student-led ventures (Matthew Rosen - mfrosen@mit.edu) (Graduation Pending) MIT delta v accelerator 2019 cohort https://www.linkedin.com/in/matthew-f-rosen/,"No Street Listed, Cambridge, MA, 02139 • hello@haystackag.com, matt@haystackag.com, startupexchange-admin@mit.edu, startupexchange@mit.edu","May 1, 2019",,Foodtech,Technology,,"Soil Carbon Markets, Vegetation, agriculture",https://startupexchange.mit.edu/node/26802,2025-08-22T15:02:37
HEALTH[AT]SCALE Edit,http://www.healthatscale.com/,"HEALTH[at]SCALE's Analytical Engine and Application Suites are based on new approaches to machine learning and artificial intelligence with specialized technologies by placing importantance on a variety of challenges (e.g., issues of sample size, event rates, poor or inconsistent data quality, fragmented datasets, multi-modal parameters, time-varying changes, integration of knowledge bases, workflow constraints etc.) that are often restrictive in real-world settings.","The team at HEALTH[at]SCALE consists of a leading and nationally-recognized group of faculty and researchers with deep expertise in healthcare big data analytics and strong ties to top institutions including MIT, Harvard, and the University of Michigan. For over a decade, the team has shared a common passion for moving the needle on how complex healthcare datasets that are increasingly being collected in routine care settings can be leveraged through novel problem formulations and award-winning algorithmic innovations to derive actionable insights and solutions to major healthcare challenges. We believe that the specialized needs of payers, pharma and device companies, and providers cannot be adequately addressed through general-purpose analytics developed across unrelated domains and often looking to scale up ideas that have been around for decades. Instead, the team at HEALTH[at]SCALE aims to empower healthcare industries through innovations in machine learning and artificial intelligence designed from the ground up for specific healthcare use cases. HEALTH[at]SCALE's Analytical Engine and Application Suites build on this experience and are based on fundamentally new approaches to machine learning and artificial intelligence that are richly integrated with deep domain knowledge of healthcare use-cases, clinical workflows, systems physiology, and medicine. We have built our tools from the ground up for transformative healthcare impact, and have specialized our technologies beyond simply dealing with problems of scale by placing great important on a broad variety of practical challenges (e.g., issues of sample size, event rates, poor or inconsistent data quality, fragmented datasets, multi-modal parameters, time-varying changes, integration of knowledge bases, workflow constraints etc.) that are often restrictive in real-world settings. Enterprise Analytics-as-a-Service (AaaS) -- Fast, Scalable and Uncomplicated Use of Advanced Analytics The novel Analytics-as-a-Service (AaaS) model is designed to offer customers the maximum opportunity to apply our advanced computational intelligence technologies to their datasets in a simple and cost-effective manner, and to achieve actionable insights from complex healthcare datasets with minimum overhead. Our core philosophy is that truly intelligent systems are self-learning and self-configuring and deliver unprecedented analytical power with unprecedented ease of use. HEALTH[at]SCALE's technologies follow this philosophy. If you have the data, our technologies will take care of the rest -- all the way from selecting, optimizing, tuning, and executing complex pipelines, to pre-processing and analyzing the data, to delivering interpretable results and helping deploy the findings in a scalable manner for broad practical use. We offer multiple AaaS solutions addressing a variety of needs across the healthcare industry, and across the spectrum of therapeutic design and use.",,"MIT faculty as founder | MIT alumni as founder | John Guttag, MIT Professor of Electrical Engineering & Computer Science (EECS) Zeeshan Syed, MEng, 2003 School of Engineering (Major: EECS), S.B. 2003 School of Engineering (Major: EECS), Ph.D. 2009 (HST) Mohammed Saeed, MIT Ph.D. - S.M. 1997 School of Engineering (Major: EECS), Ph.D. 2007 School of","350 Cambridge Avenue, Suite 250 Palo Alto, CA 94306, Palo Alto, California, 94306 • msaeed@alum.mit.edu, startupexchange-admin@mit.edu, startupexchange@mit.edu, zhs@alum.mit.edu","Feb 1, 2016",1-9,Healthcare,Health Care,NULL,,https://startupexchange.mit.edu/node/3603,2025-08-22T15:03:14
HEARBY.COM Edit,http://hearby.com,"Hearby.com is a local live music discovery platform that uses AI and Anthropology to cover all sizes of music venues, from grassroots to arenas. We use AI to automate data collection and aggregation and Anthropology to activate the passion of social networks involved with live music. We've raised $3.5 in seed funding, and we are currently working toward our Series A round.","We solve the problem of acquiring, cleaning, and activating the messy data drawn from the calendars of live music venues. Our goal is to grow the pie by getting a few more people to a lot more shows. In the past, free papers reliant on advertising provided this service. We believe the future is providing this data online for fans, musicians, venues and the larger ecosystem of music and beyond. We are currently working with partners in the UK (e.g., Music Venues Trust) and the US (NIVA + Independent Venues Week) to provide daily, updated listings at over 3000 venues.","Our CTO Karen Elliott is an MIT grad from the '80s who has long worked in AI. She and my co-founder Gary Halliwell developed and sold their last company, Netprospex, to Dun and Bradstreet for $125M, as a marketing hygiene platform. After rising to the top tier of D&B, she joined our startup to use newly available AI tools and APIs to develop a sophisticated array of automation for collecting, cleaning, and sorting live event information. Our team has developed the website Hearby.com as widget technology that can be incorporated into partner websites, such as the nation-wide Independent Venues Week.","MIT faculty as founder | I'm Ian Condry, Professor, Comparative Media Studies / Writing. I've been teaching at MIT since 2002. I'm co-founder, with Gary Halliwell, of Hearby.com which is our startup that uses AI and Anthropology to provide the most comprehensive live music listings available, currently for 3000+ venues in the UK, and over 270 venues in the larger Boston area. More broadly, we are building a live music discovery platform and community that is also a music intelligence system, capturing the vibrant, passion of the long tail from grassroots venues to arenas.","No Street Listed, Cambridge, MA, 02139 • ian.condry@area4labs.com, startupexchange-admin@mit.edu, startupexchange@mit.edu","Jul 1, 2019",10-24,Data/Analytics,Media,$2-10M,"AI, Anthropology, data, live music, live music data intelligence system",https://startupexchange.mit.edu/node/35174,2025-08-22T15:03:49
"HEAVY.AI (FORMERLY OMNISCI, MAPD) Edit",https://www.heavy.ai/,"HEAVY.AI (formerly OmniSci, MapD) provides advanced analytics that empower businesses and the government to visualize high-value opportunities and risks hidden in their big location and time data.","Leading organizations in government, telecommunications, energy, utilities, and higher education use HEAVY.AI (formerly OmniSci, MapD) to support high-impact decision-making in previously unimaginable timelines by harnessing the massive parallelism of modern GPU and CPU hardware. This analytics capability unifies today’s exploding data volumes from multiple sources for a better immersive and real-time, interactive visual experience. It can be deployed in the cloud and on-premise.","HEAVY.AI provides advanced analytics that empower businesses and the government to visualize high-value opportunities and risks hidden in their big location and time data. HEAVY.AI supports high-impact decisions in previously unimaginable timelines by harnessing the massive parallelism of modern GPU and CPU hardware. The analytics technology unifies today’s exploding data volumes from multiple sources for a better immersive and real-time, interactive visual experience. It is available in the cloud and on-premises. HEAVY.AI originated from research at Harvard and MIT Computer Science and Artificial Intelligence Laboratory (CSAIL), and is funded by GV, In-Q-Tel, New Enterprise Associates (NEA), NVIDIA, Tiger Global Management, Vanedge Capital, and Verizon Ventures. The company is headquartered in San Francisco.","MIT alumni as founder | I oversee corporate marketing at OmniSci. Todd Mostak, our company's co-founder and CEO, is a graduate of MIT. Sam Madden, professor at MIT, is also on our board of directors.","100 Montgomery, Fifth Floor, San Francisco, CA, 94104 • aaron@omnisci.com, info@omnisci.com, startupexchange-admin@mit.edu, startupexchange@mit.edu","Jan 1, 2014",50-99,Software,Software,,"SQL, Big Data, data visualization, location intelligence, analytics, data science, AI/ML, GPUs, open source",https://startupexchange.mit.edu/node/4211,2025-08-22T15:04:27
HELIX CARBON Edit,https://www.helixcarbon.co,"Helix Carbon is decarbonizing industrial chemicals by transforming captured CO2 into carbon-neutral fuels & chemicals. Born from MIT innovations, we combine dramatically improved catalysts with cheaper materials to create CO2-based carbon feedstocks that are cost-competitive in fossil-reliant markets.","In order to effectively combat climate change, we need to both replace fossil fuels in our energy economy and also as a carbon feedstock to the world’s chemicals industry. Captured carbon today is either sequestered underground or, more often, used to pump more fossil fuels, unscalable and unhelpful business models that don’t solve the core climate challenge.","Helix Carbon's technology is based on innovations in electrocatalysis developed at MIT which dramatically improve the energy efficiency, selectivity, and capital cost of electrolytic CO2 conversion. Our proprietary, non-precious metal catalysts are cheaper, last longer, and perform better than those in existing CO2 electrolyzers, enabling chemicals production costs that are competitive with existing fossil-based sources. We can enable the single-step electrochemical conversion of CO2 to carbon monoxide, ethylene, or methane.","MIT faculty as founder | MIT student as founder | MIT alumni as founder | Co-founders: Evan Haas MS '24, MBA '24; David Brown, MBA '24, Prof. Ariel Furst of MIT Chemical Engineering","No Street Listed, Cambridge, MA, 02139 • evan@helixcarbon.co, startupexchange-admin@mit.edu, startupexchange@mit.edu","Feb 1, 2024",1-9,Energy Tech,Energy,Under $2M,"Catalysis, electrocatalysis, electrolysis, e-fuel, green chemicals, decarbonization, carbon monoxide, ethylene, syngas",https://startupexchange.mit.edu/node/39225,2025-08-22T15:05:04
HELIX POWER CORPORATION Edit,http://www.helixpower.com,"Helix Power is a development stage company developing the next generation of flywheels for grid-scale power management. Initial focus will recycle regenerated braking energy on the NY City and Boston metro systems for better fuel efficiency, emissions and total cost. We were awarded $2.5M from NYSERDA to build the first flywheel. We are now seeking $3M matching funding. Matt Lazarewicz, Helix Power's President, has BS, MS, and MS Mgt. degrees from MIT and is a 15 year veteran in Energy Storage.","Helix Power is a development stage company addressing the next generation of flywheel based power management hardware to cost effectively enhance the energy efficiency & reliability of metro systems and integration of renewable energy resources into the electric grids and microgrids . The approach and results are similar to what a hybrid vehicle that recycles braking energy delivers - much lower fuel usage, lower emissions and lower total cost. We received a $2.5M award from NYSERDA and are seeking matching funding. We received $200K of funding from the US DOE and support from New York City Transit and ConEdison. We are currently working with NY City Transit, Con Ed, Boston's MBTA and Massachusetts Economic Development. to help introduce our technology.","Helix Power is developing innovative high-power (1MW+), high cycle (1M+), short duration (<3min) power management solutions. Helix systems improve power system performance and efficiency, improve resiliency, and lower total customer costs by up to 75%.","MIT alumni as founder | Matthew L Lazarewicz, Founder and President.; Degrees from MIT: BSME 1972; MSME 1975, Sloan School MSMgt 1979 Domald A Bender Founder and Board Member; Degrees from MIT BSME and MSME","Greentown Labs, 28 Dane Street, Somerville, MA, 02143 • lazarewicz@helixpower.com, lazarewiczm@comcast.net, startupexchange-admin@mit.edu, startupexchange@mit.edu","Jul 31, 2013",1-9,Energy Tech,Energy,,,https://startupexchange.mit.edu/node/4007,2025-08-22T15:05:41
HERA MATERIALS (FORMERLY ATACAMA BIOMATERIALS) Edit,https://heramaterials.com/,"Hera Materials (aka Atacama Biomaterials) is an MIT spinout developing regenerative plastics that can be made cost-effectively from diverse, local biomass, powered by Robotics and AI.","Hera’s AI foundation model, MarieCurie, enables the design of composite materials that adhere to customer specs by using variable feedstock available from regional industrial waste. MarieCurie has enabled the design of WPk, Hera’s flagship proprietary material, which is a recycled paper-based film that has already obtained certification for industry standard performance metrics for pharmaceutical and food packaging.",Machine learning and advanced manufacturing that accelerates the deployment of biomaterials in commercial products.,MIT staff as founder | Paloma Gonzalez-Rojas palomagr@mit.edu,"444 Somerville Ave. (Greentown Labs), Somerville, MA, 02143 • palomagr@atacama.bio, startupexchange-admin@mit.edu, startupexchange@mit.edu","Apr 21, 2022",1-9,Biotech Platform Tech,Manufacturing,Under $2M,"biopolymers, advanced manufacturing, machine learning",https://startupexchange.mit.edu/node/37047,2025-08-22T15:06:17
HERONAI Edit,https://heron-ai.com/,"We want to be the world's most user-friendly data analytics hub specializing in dark data. Where we help create a 360-degree view of your business automatically in 5 minutes. We offer businesses unparalleled, high-quality, innovative, and automatic data analytics that seamlessly integrate with multiple industries to revolutionize how businesses drive mission and revenue.","In the current landscape, data analytics stands as a highly lucrative industry, primarily due to the emphasis on big data. Two decades earlier, an accounting firm managing 3,000 clients would typically handle up to 1 TB of data. In stark contrast, today's modern firms grapple with over 15 TB of data per client. This exponential increase is attributed to the advent of digitalization, evolving regulatory demands, and the advancement of analytical methodologies. Over the next 18 months, our strategic focus is directed towards individual Certified Public Accountants (CPAs), as well as small to mid-sized accounting firms that are keen on embracing technological advancements. Our target market encompasses firms with average annual revenues of around $25 million and a typical staff size of 250. These firms are already employing data analytics tools such as Excel, QuickBooks, Tableau, or Power BI, but are actively seeking more efficient alternatives to enhance their operations. In a typical accounting firm, between 5 to 20 professionals allocate about 20 to 60 percent of their work time to analytics tasks, encompassing areas such as financial performance, tax, compliance, and Business Intelligence and Reporting. However, the complexity of these tasks often leads to a scenario where over 80% of the data becomes 'dark data' - unutilized and overlooked. This not only results in missed opportunities and revenues but also demands substantial investment in specialized training, costing firms an average of $18,000 to $90,000 per individual annually. Our proposed solution is a product designed to automate these analytical tasks. It aims not to replace staff but to substantially enhance their productivity. This could potentially translate into significant annual savings for firms, ranging from $140,000 to $960,000. The cost of integrating our software into these companies is set at $3,000 per month, offering a cost-effective and efficient solution for firms looking to navigate the complexities of modern data analytics.","At HeronAI, we've pioneered the development of the first fully automated, centralized end-to-end dark data analytics system tailored for accounting firms. This groundbreaking system is not just for specialists; it's designed to be accessible to all. Our AI-driven technology empowers accountants with actionable insights, autonomously analyzing client context data to generate customized dashboards and reports, thereby saving time and boosting revenue. Consider the case of Susan, an accountant at RockTree. She previously spent extensive hours on manual data entry and analysis. With HeronAI, she can now swiftly integrate comprehensive retail business data, including web and social media analytics, leading to vital insights like identifying non-optimal staffing during peak hours. Our system, which is 99% more advanced than existing solutions, leverages recursive retrieval to uncover deeper, interconnected insights from hierarchical documents. We're revolutionizing Large Language Models (LLMs) through our Resource Allocation Graph (RAG) system, offering cost-effective, privacy-conscious solutions for small and medium-sized businesses. Additionally, we enhance LLMs using company-specific data and ontologies for improved understanding and structured knowledge, making complex analytics tasks more efficient and intuitive.",MIT staff as founder | MIT alumni as founder | I am the CEO and I was a postdoc and am now research staff in DCM. My co-founder graduated from the MBA program last year,"No Street Listed, Cambridge, MA, 02139 • daphne@heron-ai.com, startupexchange-admin@mit.edu, startupexchange@mit.edu","Aug 18, 2023",1-9,AI/ML,Software,Under $2M,"data analytics, Automation, AI-Driven Solutions",https://startupexchange.mit.edu/node/38533,2025-08-22T15:06:53
